iter	Passed	Remaining
903	14610	4784
904	14627	4768
905	14643	4751
906	14658	4735
907	14670	4717
908	14684	4701
909	14699	4684
910	14715	4668
911	14730	4651
912	14746	4635
913	14761	4618
914	14777	4602
915	14794	4587
916	14812	4571
917	14830	4555
918	14848	4540
919	14864	4524
920	14881	4508
921	14896	4491
922	14909	4474
923	14923	4457
924	14940	4441
925	14956	4425
926	14969	4408
927	14983	4391
928	14998	4375
929	15012	4358
930	15027	4342
931	15042	4325
932	15057	4309
933	15074	4293
934	15090	4277
935	15106	4260
936	15121	4244
937	15135	4227
938	15150	4211
939	15165	4194
940	15181	4178
941	15195	4161
942	15209	4145
943	15224	4128
944	15239	4112
945	15254	4095
946	15270	4079
947	15286	4063
948	15302	4047
949	15318	4031
950	15335	4015
951	15353	3999
952	15371	3984
953	15388	3968
954	15404	3951
955	15422	3936
956	15435	3919
957	15449	3902
958	15465	3886
959	15481	3870
960	15497	3854
961	15513	3838
962	15529	3821
963	15545	3805
964	15561	3789
965	15576	3773
966	15591	3756
967	15604	3739
968	15617	3723
969	15632	3706
970	15647	3690
971	15660	3673
972	15676	3657
973	15691	3640
974	15708	3624
975	15722	3608
976	15740	3592
977	15776	3581
978	15809	3568
979	15823	3552
980	15836	3535
981	15850	3518
982	15864	3502
983	15877	3485
984	15903	3471
985	15921	3455
986	15936	3439
987	15951	3422
988	15965	3406
989	15981	3390
990	15995	3373
991	16008	3356
992	16022	3339
993	16035	3323
994	16049	3306
995	16063	3290
996	16076	3273
997	16089	3256
998	16104	3240
999	16118	3223
1000	16133	3207
1001	16150	3191
1002	16165	3175
1003	16180	3158
1004	16196	3142
1005	16210	3126
1006	16224	3109
1007	16237	3092
1008	16250	3076
1009	16265	3059
1010	16280	3043
1011	16296	3027
1012	16314	3011
1013	16331	2995
1014	16351	2980
1015	16367	2964
1016	16382	2947
1017	16396	2931
1018	16410	2914
1019	16424	2898
1020	16438	2882
1021	16453	2865
1022	16467	2849
1023	16481	2832
1024	16494	2816
1025	16508	2799
1026	16521	2783
1027	16535	2766
1028	16549	2750
1029	16567	2734
1030	16582	2718
1031	16595	2701
1032	16609	2685
1033	16624	2668
1034	16639	2652
1035	16652	2636
1036	16665	2619
1037	16681	2603
1038	16695	2587
1039	16710	2570
1040	16725	2554
1041	16740	2538
1042	16755	2522
1043	16770	2505
1044	16787	2489
1045	16802	2473
1046	16815	2457
1047	16829	2440
1048	16842	2424
1049	16856	2408
1050	16870	2391
1051	16884	2375
1052	16898	2359
1053	16914	2342
1054	16928	2326
1055	16942	2310
1056	16955	2293
1057	16969	2277
1058	16984	2261
1059	16998	2245
1060	17013	2228
1061	17029	2212
1062	17043	2196
1063	17056	2180
1064	17071	2163
1065	17087	2147
1066	17101	2131
1067	17115	2115
1068	17129	2099
1069	17143	2082
1070	17157	2066
1071	17172	2050
1072	17189	2034
1073	17204	2018
1074	17219	2002
1075	17233	1985
1076	17247	1969
1077	17260	1953
1078	17274	1937
1079	17288	1920
1080	17303	1904
1081	17317	1888
1082	17331	1872
1083	17347	1856
1084	17360	1840
1085	17375	1823
1086	17391	1807
1087	17409	1792
1088	17426	1776
1089	17442	1760
1090	17458	1744
1091	17472	1728
1092	17488	1712
1093	17505	1696
1094	17520	1680
1095	17537	1664
1096	17551	1647
1097	17565	1631
1098	17580	1615
1099	17593	1599
1100	17607	1583
1101	17636	1568
1102	17651	1552
1103	17667	1536
1104	17682	1520
1105	17695	1503
1106	17712	1488
1107	17726	1471
1108	17740	1455
1109	17754	1439
1110	17768	1423
1111	17783	1407
1112	17797	1391
1113	17812	1375
1114	17828	1359
1115	17846	1343
1116	17863	1327
1117	17879	1311
1118	17894	1295
1119	17910	1279
1120	17923	1263
1121	17937	1247
1122	17952	1230
1123	17966	1214
1124	17981	1198
1125	17995	1182
1126	18008	1166
1127	18022	1150
1128	18036	1134
1129	18052	1118
1130	18069	1102
1131	18084	1086
1132	18097	1070
1133	18111	1054
1134	18125	1038
1135	18140	1021
1136	18155	1005
1137	18169	989
1138	18185	973
1139	18201	957
1140	18215	941
1141	18229	925
1142	18246	909
1143	18259	893
1144	18275	877
1145	18290	861
1146	18304	845
1147	18319	829
1148	18334	813
1149	18349	797
1150	18365	781
1151	18383	765
1152	18398	749
1153	18412	733
1154	18427	717
1155	18443	701
1156	18462	686
1157	18479	670
1158	18495	654
1159	18510	638
1160	18527	622
1161	18544	606
1162	18558	590
1163	18572	574
1164	18590	558
1165	18604	542
1166	18617	526
1167	18631	510
1168	18646	494
1169	18664	478
1170	18678	462
1171	18695	446
1172	18710	430
1173	18725	414
1174	18740	398
1175	18753	382
1176	18766	366
1177	18779	350
1178	18794	334
1179	18808	318
1180	18823	302
1181	18837	286
1182	18851	270
1183	18864	254
1184	18880	238
1185	18897	223
1186	18911	207
1187	18925	191
1188	18939	175
1189	18954	159
1190	18967	143
1191	18979	127
1192	18993	111
1193	19008	95
1194	19022	79
1195	19036	63
1196	19050	47
1197	19064	31
1198	19078	15
1199	19095	0
